LicenseNbr,LicenseAppStatus,DoingBusinessAsName,LicExpirationDate,LicExpirationStatus,AddressFull,AddrStreetNo,AddrStreetDir,AddrStreetName,AddrStreetType,AddrUnit,PrimarilyRestaurant,RetailFoodEstab,RestaurantMobileCart,RestaurantMobileBase,RetailMobileCart,RetailMobileBase,FarmersMarket,RecDate,EstablishmentType,AddrCity,ESRI_OID
LICFDD-2017-00048,Active,Cp Mart Aw,2024/06/30 05:00:00+00,Active,"4601 Cottage Grove RD
Madison, WI 53716",4601,,Cottage Grove,RD,,,,,,,,,2024/02/24 11:00:07+00,Retail Food Establishment,Madison,1489
LICFDD-2017-00050,Active,Lj's Sports Tavern And Grill,2024/06/30 05:00:00+00,Active,"8 N Paterson ST
Madison, WI 53703",8,N,Paterson,ST,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,Madison,1490
LICFDD-2017-00051,Active,Gus's Diner,2024/06/30 05:00:00+00,Active,"110 KEENAN CT
VERONA, WI 53593",110,,KEENAN,CT,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,VERONA,1491
LICFDD-2017-00054,Active,Sky Zone Madison,2024/06/30 05:00:00+00,Active,"2134 W Beltline HWY
Madison, WI 53713",2134,W,Beltline,HWY,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,Madison,1492
LICFDD-2017-00055,Active,Bear And Bottle,2024/06/30 05:00:00+00,Active,"601 N SHERMAN AVE
MADISON, WI 53704",601,N,SHERMAN,AVE,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MADISON,1493
LICFDD-2017-00056,Active,Nourish,2024/06/30 05:00:00+00,Active,"5500 E CHERYL PKWY
FITCHBURG, WI 53711",5500,E,CHERYL,PKWY,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,FITCHBURG,1494
LICFDD-2017-00060,Active,Casey's General Store #3586,2024/06/30 05:00:00+00,Active,"103 PRAIRIE OAKS DR
VERONA, WI 53593",103,,PRAIRIE OAKS,DR,,,,,,,,,2024/02/24 11:00:07+00,Retail Food Establishment,VERONA,1495
LICFDD-2017-00065,Active,Epic Systems Corporation - Deep Space,2024/06/30 05:00:00+00,Active,"1979 MILKY WAY
VERONA, WI 53593",1979,,MILKY,WAY,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,VERONA,1496
LICFDD-2017-00069,Active,Hyatt Place Madison/Verona,2024/06/30 05:00:00+00,Active,"846 LIBERTY DR
VERONA, WI 53593",846,,LIBERTY,DR,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,VERONA,1497
LICFDD-2017-00070,Active,Festival Foods,2024/06/30 05:00:00+00,Active,"810 E Washington AVE
Madison, WI 53703",810,E,Washington,AVE,,,,,,,,,2024/02/24 11:00:07+00,Retail Food Establishment,Madison,1498
